integer,color
1,1
2,2
3,3
4,4
5,1
6,5
7,6
8,1
9,5
10,3
11,1
12,2
13,4
14,1
15,6
16,3
17,5
18,6
19,2
20,4
21,5
22,3
23,3
24,1
25,2
26,2
27,1
28,4
29,3
30,1
31,4
32,5
33,1
34,2
35,3
36,1
37,6
38,4
39,5
40,1
41,2
42,3
43,1
44,5
45,6
46,1
47,6
48,3
49,1
50,4
51,5
52,1
53,6
54,5
55,5
56,3
57,2
58,2
59,6
60,3
61,4
62,3
63,2
64,4
65,1
66,5
67,3
68,3
69,3
70,5
71,1
72,2
73,4
74,3
75,3
76,6
77,1
78,6
79,2
80,3
81,1
82,5
83,4
84,1
85,2
86,2
87,3
88,3
89,5
90,1
91,4
92,5
93,1
94,3
95,2
96,2
97,6
98,4
99,1
100,3
101,3
102,2
103,1
104,5
105,6
106,3
107,3
108,4
109,1
110,4
111,5
112,1
113,3
114,3
115,1
116,6
117,4
118,2
119,3
120,4
121,3
122,6
123,2
124,2
125,1
126,3
127,5
128,1
129,5
130,5
131,1
132,4
133,3
134,1
135,4
136,6
137,1
138,6
139,3
140,2
141,2
142,4
143,4
144,1
145,2
146,2
147,1
148,6
149,5
150,1
151,3
152,3
153,1
154,4
155,2
156,2
157,6
158,3
159,3
160,1
161,4
162,2
163,1
164,3
165,3
166,1
167,5
168,4
169,1
170,6
171,3
172,1
173,2
174,6
175,5
176,6
177,4
178,3
179,4
180,6
181,1
182,6
183,2
184,3
185,1
186,6
187,4
188,1
189,5
190,5
191,1
192,3
193,2
194,1
195,4
196,6
197,3
198,3
199,6
200,2
201,1
202,5
203,3
204,1
205,3
206,2
207,1
208,6
209,4
210,3
211,2
212,4
213,1
214,4
215,2
216,2
217,3
218,6
219,4
220,1
221,4
222,2
223,1
224,4
225,5
226,1
227,5
228,6
229,1
230,6
231,4
232,1
233,2
234,6
235,1
236,4
237,3
238,1
239,2
240,6
241,3
242,1
243,3
244,2
245,1
246,4
247,5
248,1
249,3
250,3
251,1
252,5
253,2
254,1
255,3
256,3
257,6
258,4
259,6
260,2
261,2
262,5
263,5
264,1
265,4
266,2
267,1
268,6
269,6
270,1
271,2
272,4
273,1
274,5
275,5
276,2
277,2
278,6
279,4
280,6
281,3
282,3
283,1
284,2
285,5
286,1
287,3
288,3
289,1
290,5
291,4
292,1
293,2
294,3
295,1
296,3
297,6
298,2
299,1
300,3
301,4
302,1
303,6
304,2
305,1
306,4
307,6
308,1
309,6
310,5
311,1
312,5
313,4
314,1
315,2
316,4
317,1
318,4
319,6
320,3
321,2
322,2
323,4
324,1
325,4
326,2
327,3
328,4
329,6
330,1
331,2
332,3
333,1
334,3
335,5
336,1
337,2
338,6
339,3
340,3
341,6
342,4
343,1
344,2
345,3
346,1
347,5
348,5
349,1
350,4
351,6
352,1
353,3
354,2
355,6
356,1
357,6
358,1
359,3
360,4
361,6
362,5
363,6
364,2
365,1
366,3
367,6
368,1
369,4
370,5
371,1
372,3
373,3
374,1
375,2
376,4
377,1
378,3
379,3
380,6
381,2
382,2
383,4
384,1
385,3
386,3
387,1
388,5
389,6
390,1
391,2
392,2
393,1
394,4
395,4
396,2
397,2
398,3
399,6
400,1
401,6
402,4
403,1
404,3
405,4
406,1
407,5
408,5
409,1
410,5
411,3
412,1
413,2
414,2
415,6
416,3
417,4
418,3
419,2
420,4
421,6
422,1
423,3
424,3
425,1
426,5
427,4
428,1
429,4
430,3
431,3
432,6
433,5
434,1
435,2
436,3
437,3
438,1
439,4
440,6
441,2
442,2
443,3
444,1
445,5
446,4
447,1
448,5
449,3
450,3
451,2
452,2
453,1
454,4
455,5
456,1
457,3
458,2
459,6
460,1
461,6
462,3
463,3
464,4
465,2
466,1
467,5
468,3
469,3
470,3
471,5
472,1
473,4
474,2
475,3
476,4
477,3
478,6
479,2
480,2
481,3
482,5
483,5
484,6
485,1
486,5
487,4
488,1
489,3
490,6
491,1
492,6
493,5
494,1
495,3
496,2
497,1
498,5
499,4
500,6
501,1
502,3
503,2
504,1
505,5
506,4
507,1
508,3
509,4
510,1
511,2
512,2
513,1
514,3
515,3
516,5
517,4
518,2
519,6
520,5
521,3
522,6
523,1
524,4
525,2
526,1
527,3
528,5
529,1
530,6
531,5
532,1
533,4
534,3
535,2
536,1
